link_id,link_name,status,match_source,road_id,road_name,score,distance_m,overlap_ratio,name_similarity,traffic,capacity,lanes,speed_limit,best_candidate_road_id,best_candidate_road_name,best_candidate_score,best_candidate_distance_m,best_candidate_overlap_ratio,best_candidate_name_similarity
L38,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.2199,3.01,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.2199,3.01,1.0,1.0
L41,улица Кропоткина,matched_direct,direct,178800,ул Кропоткина,1.2466,0.34,1.0,1.0,2000.0,3600.0,2,40.0,178800,ул Кропоткина,1.2466,0.34,1.0,1.0
L53,дублёр Ипподромской,no_match,,,,,,,,,,,,,,,,,
L73,дублёр Ипподромской / Ипподромская улица,no_match,,,,,,,,,,,,1414193,Ул. Челюскинцев - ул. Гоголя - ул. Кошурникова,0.1124,16.74,0.1996,-1.0
L81,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1484,10.16,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1484,10.16,1.0,1.0
L89,Ипподромская улица,no_match,,,,,,,,,,,,178827,ул Ипподромская,0.3082,29.18,0.0,1.0
L105,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.1967,5.33,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.1967,5.33,1.0,1.0
L107,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1783,0.92,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.1783,0.92,1.0,0.75
L110,Красный проспект,matched_direct,direct,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1875,0.0,1.0,0.75,,,,,1414167,Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе,1.1875,0.0,1.0,0.75
L140,Красный проспект,matched_direct,direct,178828,пр-кт Красный,1.1713,7.87,1.0,1.0,14000.0,8800.0,4,40.0,178828,пр-кт Красный,1.1713,7.87,1.0,1.0
L115,Ипподромская улица,no_match,,,,,,,,,,,,178827,ул Ипподромская,0.3082,29.18,0.0,1.0
L120,Ипподромская улица,matched_direct,direct,178827,ул Ипподромская,1.205,4.5,1.0,1.0,14000.0,13800.0,6,40.0,178827,ул Ипподромская,1.205,4.5,1.0,1.0
L153,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.064,18.6,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.064,18.6,1.0,1.0
L154,улица Гоголя,matched_direct,direct,178053,ул Гоголя,1.0531,19.69,1.0,1.0,6000.0,3600.0,2,20.0,178053,ул Гоголя,1.0531,19.69,1.0,1.0
L160,улица Писарева,matched_direct,direct,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.0083,17.92,1.0,0.75,,,,,1414194,Ул. Писарева - ул. Железнодорожная - ул. Дмитрия Шамшурина,1.0083,17.92,1.0,0.75
